Country,Rice(ha),Rice(t),Rice(Kcal),Rice(%),Rice new(ha),Rice new(t),Rice new(Kcal),Corn(ha),Corn(t),Corn(Kcal),Corn(%),Corn new(ha),Corn new(t),Corn new(Kcal),Wheat(ha),Wheat(t),Wheat(Kcal),Wheat(%),Wheat new(ha),Wheat new(t),Wheat new(Kcal),Soya(ha),Soya(t),Soya(Kcal),Soya(%),Soya new(ha),Soya new(t),Soya new(Kcal),Roots and tubers(ha),Roots and tubers(t),Roots and tubers(Kcal),Roots and tubers(%),Roots and tubers new(ha),Roots and tubers new(t),Roots and tubers new(Kcal),sum(ha),sum(t),sum(Kcal),sum new(ha),sum new(t),sum new(Kcal),Calorie difference(%)
Cuba,89189,307400,1.2213E+12,50.00%,116946.5,403069.3707,1.60139E+12,144704,345909,9.08616E+11,50.00%,116946.5,279555.8303,7.34323E+11,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,233893,653309,2.12991E+12,233893,682625.201,2.33571E+12,9.66%
Cyprus,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,8485,18054,98530026949,100.00%,8485,18054,98530026949,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,8485,18054,98530026949,8485,18054,98530026949,0.00%
Democratic People's Republic of Korea,314157,1392696,4.30187E+12,80.00%,762419.2,3379896.581,1.04401E+13,508000,1876000,3.1898E+12,10.00%,95302.4,351943.5087,5.98417E+11,23867,35000,2.7715E+11,0.00%,0,0,0,107000,135000,1.33213E+12,10.00%,95302.4,120241.3458,1.1865E+12,0,0,0,0.00%,0,0,0,953024,3438696,9.10095E+12,953024,3852081.435,1.2225E+13,34.33%
Dominican,128467,418451,1.75915E+12,95.00%,146849.1,478326.362,2.01086E+12,26111,44590,1.63954E+11,5.00%,7728.9,13198.71514,48530807568,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,154578,463041,1.9231E+12,154578,491525.0771,2.05939E+12,7.09%
Egypt,370283,3268300,5.07042E+12,20.00%,527539.2,4656320.618,7.22379E+12,935778,7300000,5.87588E+12,30.00%,791308.8,6172996.416,4.96873E+12,1315490,8800000,1.52758E+13,50.00%,1318848,8822463.417,1.53148E+13,15000,48000,1.86747E+11,0.00%,0,0,0,1145,5221,7249971066,0.00%,0,0,0,2637696,19421521,2.64161E+13,2637696,19651780.45,2.75073E+13,4.13%
Finland,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,#DIV/0!,0,177800,494700,2.06466E+12,100.00%,177800,494700,2.06466E+12,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,177800,494700,2.06466E+12,177800,#DIV/0!,2.06466E+12,0.00%
France,8926,48895,1.22227E+11,1.00%,68222.52,373710.5216,9.34196E+11,1421965,12667393,8.92871E+12,20.00%,1364450.4,12155031.56,8.56757E+12,5231615,35798234,6.07509E+13,70.00%,4775576.4,32677710.7,5.54552E+13,153747,400292,1.91412E+12,8.00%,545780.16,1420980.128,6.79487E+12,5999,35771,37984782902,1.00%,68222.52,406799.0937,4.31975E+11,6822252,48950585,7.17539E+13,6822252,47034232,7.21838E+13,0.60%
Gambia,35891,45997,4.91468E+11,50.00%,37637,48234.62955,5.15377E+11,39383,44479,2.47291E+11,50.00%,37637,42507.0747,2.36328E+11,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,75274,90476,7.3876E+11,75274,90741.70425,7.51705E+11,1.75%
Georgia,0,0,0,0.00%,0,0,0,71400,194200,4.4833E+11,60.00%,69169.2,188132.4739,4.34323E+11,43300,107100,5.02811E+11,35.00%,40348.7,99800.13326,4.6854E+11,582,2000,7245800088,5.00%,5764.1,19807.90378,71762055477,0,0,0,0.00%,0,0,0,115282,303300,9.58387E+11,115282,307740.511,9.74624E+11,1.69%
Ghana,181695,513190,2.48802E+12,20.00%,291312.4,822799.8049,3.98905E+12,1184363,2306384,7.43678E+12,80.00%,1165249.6,2269163.283,7.31676E+12,0,0,0,0.00%,0,0,0,90469,152023,1.12632E+12,0.00%,0,0,0,35,190,221614836.1,0.00%,0,0,0,1456562,2971787,1.10513E+13,1456562,3091963.088,1.13058E+13,2.30%
Guam,0,0,0,90.00%,175.5,0,2403185126,21,56,131861837.9,5.00%,9.75,26,61221567.6,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,174,2356,1101742328,5.00%,9.75,132.0172414,61735561.48,195,2412,1233604166,195,158.0172414,2526142255,104.78%
Guatemala,7284,21009,99742452741,5.00%,45655.35,131682.2142,6.25175E+11,890229,1921936,5.58987E+12,90.00%,821796.3,1774195.06,5.16017E+12,594,1282,6897682499,0.00%,0,0,0,15000,38000,1.86747E+11,5.00%,45655.35,115660.22,5.68401E+11,0,0,0,0.00%,0,0,0,913107,1982227,5.88326E+12,913107,2021537.494,6.35375E+12,8.00%
Guinea-Bissau,79146,114216,1.08377E+12,90.00%,89572.5,129262.5358,1.22655E+12,6918,7254,43439056885,5.00%,4976.25,5217.94124,31246546230,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,13461,89483,85233065951,5.00%,4976.25,33079.99248,31508880799,99525,210953,1.21245E+12,99525,167560.4695,1.2893E+12,6.34%
Guyana,111496,643303,1.52676E+12,95.00%,111371.35,642583.8018,1.52505E+12,3125,4284,19622297306,3.00%,3516.99,4821.371251,22083655489,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,2612,13908,16538798623,2.00%,2344.66,12484.50662,14846041187,117233,661495,1.56292E+12,117233,659889.6797,1.56198E+12,-0.06%
Haiti,45266,122061,6.19844E+11,20.00%,66234,178601.7822,9.06966E+11,260000,312402,1.63258E+12,70.00%,231819,278541.2278,1.45562E+12,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,25904,64703,1.6402E+11,10.00%,33117,82719.62828,2.09692E+11,331170,499166,2.41644E+12,331170,539862.6383,2.57228E+12,6.45%
Honduras,9874,39819,1.35208E+11,5.00%,20189.45,81418.24079,2.76461E+11,390978,704747,2.455E+12,95.00%,383599.55,691447.1711,2.40867E+12,1248,2238,14492100605,0.00%,0,0,0,465,982,5789170173,0.00%,0,0,0,1224,6010,7750187410,0.00%,0,0,0,403789,753796,2.61824E+12,403789,772865.4119,2.68513E+12,2.55%
India,29681500,115110860,4.0644E+14,45.00%,35937675,139373571.9,4.92108E+14,9200000,27820000,5.7768E+13,10.00%,7986150,24149423.15,5.01461E+13,29580000,99700000,3.43491E+14,28.00%,22361220,75368953.14,2.59664E+14,11400000,13786000,1.41928E+14,10.00%,7986150,9657637.184,9.94262E+13,0,0,0,7.00%,5590305,0,3.5397E+13,79861500,256416860,9.49626E+14,79861500,248549585.4,9.36741E+14,-1.36%
Iran,386860,1327330,5.29741E+12,3.00%,220925.13,758001.7391,3.02521E+12,192311,1338258,1.20755E+12,1.00%,73641.71,512459.5449,4.62406E+11,6700000,14500000,7.78021E+13,95.00%,6995962.45,15140515.75,8.12389E+13,85000,210000,1.05824E+12,1.00%,73641.71,181938.3424,9.16827E+11,0,0,0,0.00%,0,0,0,7364171,17375588,8.53653E+13,7364171,16592915.38,8.56434E+13,0.33%
Jamaica,0,0,0,50.00%,1729,0,23675823832,1896,2177,11905240222,25.00%,864.5,992.6247363,5428312327,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,1562,26468,9890353541,25.00%,864.5,14648.90269,5473886451,3458,28645,21795593763,3458,15641.52743,34578022609,58.65%
