Country or Area,Element,Year,Unit,Soya Value
Kenya,Area harvested,2018,ha,2356
Bulgaria,Area harvested,2018,ha,2315
Kenya,Production,2018,tonnes,2304
Georgia,Production,2018,tonnes,2000
Slovenia,Area harvested,2018,ha,1756
Kyrgyzstan,Area harvested,2018,ha,1623
Switzerland,Area harvested,2018,ha,1622
Togo,Production,2018,tonnes,1559
Peru,Production,2018,tonnes,1530
Sri Lanka,Area harvested,2018,ha,1511
Spain,Area harvested,2018,ha,1481
Timor-Leste,Production,2018,tonnes,1008
Honduras,Production,2018,tonnes,982
Peru,Area harvested,2018,ha,832
Morocco,Area harvested,2018,ha,766
Albania,Production,2018,tonnes,744
Morocco,Production,2018,tonnes,732
Timor-Leste,Area harvested,2018,ha,671
Philippines,Production,2018,tonnes,658
C么te d'Ivoire,Production,2018,tonnes,606
Georgia,Area harvested,2018,ha,582
Philippines,Area harvested,2018,ha,490
Honduras,Area harvested,2018,ha,465
C么te d'Ivoire,Area harvested,2018,ha,411
Syrian Arab Republic,Production,2018,tonnes,300
Bhutan,Area harvested,2018,ha,262
Albania,Area harvested,2018,ha,253
Panama,Area harvested,2018,ha,234
Bhutan,Production,2018,tonnes,226
Syrian Arab Republic,Area harvested,2018,ha,130
Panama,Production,2018,tonnes,88
Madagascar,Area harvested,2018,ha,75
Tajikistan,Area harvested,2018,ha,75
Azerbaijan,Area harvested,2018,ha,69
Madagascar,Production,2018,tonnes,44
Azerbaijan,Production,2018,tonnes,41
Iraq,Area harvested,2018,ha,37
Pakistan,Area harvested,2018,ha,30
Iraq,Production,2018,tonnes,29
Pakistan,Production,2018,tonnes,29
Tajikistan,Production,2018,tonnes,26
North Macedonia,Production,2018,tonnes,20
North Macedonia,Area harvested,2018,ha,12
Suriname,Area harvested,2018,ha,7
Suriname,Production,2018,tonnes,7
Jordan,Area harvested,2018,ha,0
Jordan,Production,2018,tonnes,0
